id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
188155,Copacabana - 2 rooms - Carnival available,617333,Luis,,Copacabana,-22.96775,-43.18457,Entire home/apt,206,2,39,2018-11-06,0.36,3,163,7,
190204,Venusian Room at Botafogo,918340,Flávia,,Botafogo,-22.94882,-43.18121,Private room,250,3,46,2020-02-08,0.42,2,364,0,
190906,Charmoso apartamento na praia de Ipanema,823800,Rafaella,,Ipanema,-22.98057,-43.1995,Entire home/apt,301,3,165,2021-05-05,1.48,15,181,7,
191955,bedroom suite,929229,Arlete,,Humaitá,-22.95644,-43.19992,Private room,100,5,1,2016-01-18,0.01,2,358,0,
193317,Bedroom Ipanema 1 block from beach,937397,Adriano,,Ipanema,-22.98467,-43.19714,Private room,99,2,182,2020-01-02,1.79,3,154,1,
196312,Flat between Copacabana & Ipanema,955720,Priscilla,,Copacabana,-22.98357,-43.19408,Entire home/apt,180,2,76,2015-01-05,0.63,1,24,0,
198646,COME SPEND THE BEST PLACE IN RIO!!!,969822,Lucia,,Marechal Hermes,-22.8607,-43.36681,Private room,69,1,6,2014-08-26,0.13,2,363,0,
198665,Comfort and safety on your trip,969899,Josevalda,,Jardim Botânico,-22.96055,-43.22285,Private room,501,3,6,2016-08-16,0.05,1,365,0,
200568,30m of Ipa Beach - Studio 1,980805,Henrique,,Ipanema,-22.98586,-43.19411,Entire home/apt,80,5,185,2019-04-18,1.58,7,97,1,
201308,"Nice area,  safe,clean and central",984392,Mrs. Cindy,,Laranjeiras,-22.93595,-43.18791,Private room,835,3,2,2016-02-12,0.02,1,365,0,
201490,Wonderful house surrounded by green,985704,Ana Maria,,Itanhangá,-22.97971,-43.32548,Private room,150,2,0,,,1,363,0,
202400,COPACABANA - RIO DE JANEIRO - 1/2 block from beach,961863,Caesar,,Copacabana,-22.97323,-43.18819,Entire home/apt,365,3,0,,,1,209,0,
202778,Best Studio in Rio - Copacabana,529105,Alex,,Copacabana,-22.96582,-43.17786,Entire home/apt,202,3,203,2021-09-15,1.65,3,361,5,
203674,"IPANEMA PENTHOUSE,JACUZZI + STUNNING CRISTO VIEWS!",999125,Alastair,,Ipanema,-22.98335,-43.20306,Entire home/apt,2291,5,48,2019-01-30,0.48,1,236,0,
210173,"BEAUTIFUL! Spacious,all rooms",1030316,Elizabeth,,Copacabana,-22.98596,-43.19001,Private room,1576,2,3,2012-02-20,0.03,4,209,0,
215793,"BEAUTIFUL! Spacious,king room!",1030316,Elizabeth,,Copacabana,-22.98596,-43.19001,Private room,232,2,30,2019-12-23,0.47,4,361,1,
215878,"Beautiful! Spacious ,Queen Room !!!",1030316,Elizabeth,,Copacabana,-22.98596,-43.19001,Private room,235,2,31,2016-08-13,0.62,4,21,0,
215887,"BEAUTIFUL! Spacious,TWIN ROOM.",1030316,Elizabeth,,Copacabana,-22.98596,-43.19001,Private room,202,2,32,2020-02-26,0.51,4,362,0,
216436,STUNNING WEST RIO BEACHES & MNTNS,2182548,Naiana,,Vargem Grande,-22.98271,-43.49074,Entire home/apt,1200,1,1,2011-11-06,0.01,1,82,0,
